LED_0,LED_1,LED_2,LED_3,LED_4,LED_5,LED_6,LED_7,LED_8,LED_9,LED_10,LED_11,t
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.0
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.016666666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.03333333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.05
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.06666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.08333333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.1
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.11666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.13333333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.15
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.16666666666666666
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.18333333333333332
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",0.2
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,1","0,0,2","0,0,3","0,0,4",0.21666666666666667
"0,0,0","1,0,0","2,0,0","2,0,0","0,3,0","0,1,0","0,4,0","0,3,0","0,0,7","0,0,10","0,0,20","0,0,13",0.23333333333333334
"2,0,0","4,0,0","1,0,0","2,0,0","0,2,0","0,1,0","0,5,0","0,3,0","0,0,7","0,0,10","0,0,21","0,0,14",0.25
"2,0,0","3,0,0","1,0,0","1,0,0","0,2,0","0,1,0","0,4,0","0,3,0","0,0,7","0,0,11","0,0,20","0,0,13",0.26666666666666666
"2,0,0","3,0,0","1,0,0","1,0,0","0,2,0","0,1,0","0,3,0","0,3,0","0,0,7","0,0,11","0,0,19","0,0,13",0.2833333333333333
"2,0,0","2,0,0","1,0,0","1,0,0","0,1,0","0,2,0","0,3,0","0,2,0","0,0,7","0,0,11","0,0,21","0,0,12",0.3
"1,0,0","2,0,0","0,0,0","1,0,0","0,1,0","0,1,0","0,3,0","0,2,0","0,0,7","0,0,11","0,0,20","0,0,11",0.31666666666666665
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,2,0","0,3,0","0,2,0","0,0,7","0,0,10","0,0,20","0,0,12",0.3333333333333333
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,3,0","0,2,0","0,0,7","0,0,9","0,0,19","0,0,11",0.35
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,2,0","0,0,6","0,0,9","0,0,17","0,0,10",0.36666666666666664
"1,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,1,0","0,0,5","0,0,8","0,0,15","0,0,9",0.38333333333333336
"1,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,1,0","0,0,5","0,0,7","0,0,13","0,0,8",0.4
"1,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,2,0","0,1,0","0,0,5","0,0,6","0,0,11","0,0,7",0.4166666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,1,0","0,0,4","0,0,6","0,0,10","0,0,7",0.43333333333333335
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,1,0","0,0,3","0,0,6","0,0,9","0,0,6",0.45
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,3","0,0,5","0,0,8","0,0,6",0.4666666666666667
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,3","0,0,5","0,0,7","0,0,5",0.48333333333333334
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,3","0,0,4","0,0,5","0,0,4",0.5
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","0,0,0","0,0,2","0,0,4","0,0,5","0,0,4",0.5166666666666667
